profile_env	Lisbon_Sewage	Barcelona_Sewage	Berlin_Sewage	Hong_Kong_Sewage	Porto_Sewage	Santiago_Sewage	Singapore_Sewage	Sofia_Sewage	Taipei_Sewage	Vienna_Sewage	Bogota_Sewage	Hanoi_Sewage	Ilorin_Sewage	Kuala_Lumpur_Sewage	Oslo_Sewage	Rio_de_Janeiro_Sewage	Barcelona_Transit	Berlin_Transit	Bogota_Transit	Hanoi_Transit	Hong_Kong_Transit	Ilorin_Transit	Kuala_Lumpur_Transit	Lisbon_Transit	Oslo_Transit	Porto_Transit	Rio_de_Janeiro_Transit	Santiago_Transit	Singapore_Transit	Sofia_Transit	Taipei_Transit	Vienna_Transit
Ilorin_Sewage	0.7388059701492536	0.7473684210526316	0.7333333333333334	0.8063241106719368	0.7874015748031497	0.7543859649122806	0.8015873015873015	0.71875	0.7706422018348624	0.7398373983739838	0.7772277227722773	0.7965367965367965	0	0.7743589743589745	0.7582417582417582	0.7352941176470588	0.8857142857142858	0.9024390243902439	0.8717948717948718	0.787037037037037	0.8048780487804877	0.7444444444444445	0.8070175438596492	0.8750000000000001	0.8428571428571429	0.9066666666666667	0.8160919540229885	0.9142857142857143	0.8382352941176471	0.8048780487804877	0.8414634146341463	0.7654320987654321
Kuala_Lumpur_Sewage	0.6372549019607843	0.8	0.7395833333333334	0.36254980079681276	0.6512820512820513	0.7193877551020408	0.34274193548387094	0.7659574468085107	0.4159663865546218	0.693069306930693	0.4721030042918455	0.39419087136929465	0.7743589743589745	0	0.8191489361702128	0.7272727272727273	0.9494382022471909	0.9414893617021276	0.9175824175824175	0.787878787878788	0.8989361702127658	0.8191489361702128	0.7563451776649746	0.9184782608695652	0.9385474860335195	0.9147727272727273	0.8958333333333334	0.9548022598870056	0.9378531073446328	0.9047619047619047	0.9090909090909091	0.8941798941798942
Oslo_Sewage	0.6666666666666666	0.5217391304347826	0.6966292134831461	0.8367346938775511	0.6568627450980392	0.6702127659574468	0.8414634146341463	0.5070422535211268	0.8433179723502304	0.62	0.888888888888889	0.8846153846153846	0.7582417582417582	0.8191489361702128	0	0.7956989247311829	0.8703703703703703	0.9104477611940298	0.7966101694915254	0.8247422680412371	0.791044776119403	0.7532467532467533	0.8333333333333333	0.8032786885245902	0.8363636363636363	0.8596491228070176	0.7536231884057971	0.8867924528301886	0.8301886792452831	0.7538461538461538	0.7812500000000001	0.7971014492753623
Rio_de_Janeiro_Sewage	0.6875000000000001	0.7446808510638298	0.7058823529411764	0.7613168724279835	0.6923076923076924	0.7064220183486238	0.7714285714285715	0.7291666666666666	0.7405660377358491	0.7777777777777778	0.7512690355329951	0.7633928571428572	0.7352941176470588	0.7272727272727273	0.7956989247311829	0	0.8840579710144928	0.9012345679012346	0.8701298701298702	0.7962962962962964	0.8170731707317073	0.782608695652174	0.7837837837837839	0.8133333333333332	0.8732394366197184	0.8428571428571429	0.8275862068965517	0.9130434782608696	0.8529411764705882	0.8452380952380951	0.8674698795180723	0.8352941176470587
Barcelona_Transit	0.9065420560747663	0.864406779661017	0.8750000000000001	0.9669421487603307	0.9032258064516129	0.9156626506024096	0.9669421487603307	0.890625	0.9463414634146341	0.9042553191489361	0.9627659574468085	0.9633027522935781	0.8857142857142858	0.9494382022471909	0.8703703703703703	0.8840579710144928	0	0.6428571428571429	0.56	0.8208955223880596	0.6857142857142856	0.78	0.8648648648648648	0.7741935483870968	0.5499999999999999	0.5714285714285715	0.6923076923076924	0.5	0.7142857142857143	0.6470588235294118	0.7352941176470588	0.7368421052631579
Berlin_Transit	0.9159663865546218	0.8873239436619719	0.8928571428571428	0.9561752988047809	0.9038461538461539	0.9263157894736842	0.9561752988047809	0.8933333333333333	0.9395348837209303	0.8942307692307693	0.949238578680203	0.9606986899563319	0.9024390243902439	0.9414893617021276	0.9104477611940298	0.9012345679012346	0.6428571428571429	0	0.5454545454545454	0.8181818181818181	0.7391304347826086	0.7413793103448275	0.8292682926829268	0.6486486486486487	0.7575757575757575	0.6451612903225806	0.5	0.6153846153846153	0.8181818181818181	0.7111111111111111	0.8043478260869564	0.7755102040816326
Bogota_Transit	0.8761061946902654	0.8153846153846155	0.8333333333333333	0.9473684210526316	0.8333333333333333	0.8636363636363636	0.9344262295081968	0.8260869565217391	0.9238095238095239	0.8585858585858585	0.9378238341968913	0.936936936936937	0.8717948717948718	0.9175824175824175	0.7966101694915254	0.8701298701298702	0.56	0.5454545454545454	0	0.7972972972972973	0.6666666666666666	0.7090909090909091	0.825	0.6285714285714286	0.6551724137931034	0.5714285714285715	0.5813953488372093	0.5217391304347826	0.7241379310344828	0.6341463414634146	0.738095238095238	0.7111111111111111
Hanoi_Transit	0.8028169014084507	0.8235294117647058	0.8245614035087719	0.7928286852589642	0.8076923076923077	0.7777777777777778	0.788	0.8190476190476191	0.8044444444444444	0.7812500000000001	0.7843137254901961	0.7709251101321586	0.787037037037037	0.787878787878788	0.8247422680412371	0.7962962962962964	0.8208955223880596	0.8181818181818181	0.7972972972972973	0	0.7625	0.6428571428571429	0.42528735632183906	0.8026315789473685	0.8450704225352113	0.8472222222222222	0.7469879518072289	0.8507462686567165	0.8732394366197184	0.7625	0.8571428571428571	0.7831325301204819
Hong_Kong_Transit	0.8389830508474576	0.7916666666666666	0.8117647058823529	0.937007874015748	0.8155339805825244	0.8421052631578948	0.9328063241106719	0.7866666666666667	0.9174311926605504	0.8285714285714285	0.9408866995073892	0.9162995594713657	0.8048780487804877	0.8989361702127658	0.791044776119403	0.8170731707317073	0.6857142857142856	0.7391304347826086	0.6666666666666666	0.7625	0	0.6271186440677966	0.761904761904762	0.7916666666666666	0.5588235294117647	0.717948717948718	0.7321428571428571	0.7428571428571429	0.5757575757575757	0.35	0.46341463414634143	0.48888888888888893
Ilorin_Transit	0.7540983606557378	0.725	0.7526881720430108	0.86	0.7314814814814815	0.7745098039215685	0.8508064516129031	0.7073170731707317	0.8271028037383178	0.7567567567567568	0.8725490196078431	0.8451327433628318	0.7444444444444445	0.8191489361702128	0.7532467532467533	0.782608695652174	0.78	0.7413793103448275	0.7090909090909091	0.6428571428571429	0.6271186440677966	0	0.6	0.7627118644067796	0.72	0.7499999999999999	0.6129032258064516	0.7959183673469388	0.76	0.6271186440677966	0.7213114754098361	0.6612903225806451
