feature	Lisbon	Barcelona	Berlin	Hong_Kong	Porto	Santiago	Singapore	Sofia	Taipei	Vienna	Bogota	Hanoi	Ilorin	Kuala_Lumpur	Oslo	Rio_de_Janeiro
Drug and biocide MFS efflux pumps,KMRA	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0
Drug and biocide MFS efflux pumps,KPN	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0
Drug and biocide MFS efflux pumps,MDFA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Drug and biocide MFS efflux pumps,MDTH	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0
Drug and biocide MFS efflux pumps,MDTM	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Drug and biocide MFS efflux regulator,EMRR	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1
Drug and biocide MFS efflux regulator,EVGS	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0
Drug and biocide RND efflux pumps,ACRA	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0
Drug and biocide RND efflux pumps,ACRB	1	0	1	1	0	0	1	0	1	0	1	1	1	1	0	1
Drug and biocide RND efflux pumps,ACRE	0	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0
Drug and biocide RND efflux pumps,ACRF	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0
Drug and biocide RND efflux pumps,ADEJ	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Drug and biocide RND efflux pumps,MDTE	0	0	1	1	0	0	1	0	1	1	1	1	0	1	0	0
Drug and biocide RND efflux pumps,MDTF	1	0	0	1	0	1	1	0	1	0	1	1	0	1	0	1
Drug and biocide RND efflux pumps,MDTN	0	0	0	1	1	0	1	1	1	0	1	1	0	1	0	1
Drug and biocide RND efflux pumps,MDTO	0	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0
Drug and biocide RND efflux pumps,MDTP	1	0	0	1	0	0	1	0	1	1	1	1	1	1	0	1
Drug and biocide RND efflux pumps,MEXF	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0
Drug and biocide RND efflux regulator,ACRR	1	0	1	1	0	0	1	0	1	0	1	1	1	0	0	1
Drug and biocide RND efflux regulator,ACRS	0	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0
Drug and biocide RND efflux regulator,CPXAR	0	0	1	1	1	0	1	0	1	1	1	1	0	1	0	0
Drug and biocide RND efflux regulator,CRP	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1
Drug and biocide RND efflux regulator,GADW	0	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0
Drug and biocide RND efflux regulator,GADX	0	0	0	1	0	0	1	0	1	1	1	1	0	1	0	1
Drug and biocide RND efflux regulator,MARA	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Drug and biocide RND efflux regulator,MARR	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0
Drug and biocide SMR efflux pumps,KPNF	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0
Drug and biocide SMR efflux pumps,KPNO	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0
