"Sample1","Sample2","shared_ARGs_a","unique_ARGs_sample1_b","unique_ARGs_sample2_c","Total_Jaccard","Turnover","Nestedness","City1","Environment1","City2","Environment2","Pair_type"
"Berlin_Sewage","Santiago_Transit",7,61,4,0.902777777777778,0.533333333333333,0.369444444444444,"Berlin","Sewage","Santiago","Transit","Sewage-Transit"
"Berlin_Sewage","Singapore_Transit",10,58,4,0.861111111111111,0.444444444444444,0.416666666666667,"Berlin","Sewage","Singapore","Transit","Sewage-Transit"
"Berlin_Sewage","Sofia_Transit",17,51,16,0.797619047619048,0.653061224489796,0.144557823129252,"Berlin","Sewage","Sofia","Transit","Sewage-Transit"
"Berlin_Sewage","Taipei_Transit",17,51,13,0.790123456790123,0.604651162790698,0.185472293999426,"Berlin","Sewage","Taipei","Transit","Sewage-Transit"
"Berlin_Sewage","Vienna_Transit",17,51,18,0.802325581395349,0.679245283018868,0.123080298376481,"Berlin","Sewage","Vienna","Transit","Sewage-Transit"
"Hong_Kong_Sewage","Porto_Sewage",74,163,15,0.706349206349206,0.288461538461538,0.417887667887668,"Hong_Kong","Sewage","Porto","Sewage","Sewage-Sewage"
"Hong_Kong_Sewage","Santiago_Sewage",67,170,10,0.728744939271255,0.229885057471264,0.498859881799991,"Hong_Kong","Sewage","Santiago","Sewage","Sewage-Sewage"
"Hong_Kong_Sewage","Singapore_Sewage",210,27,27,0.204545454545455,0.204545454545455,0,"Hong_Kong","Sewage","Singapore","Sewage","Sewage-Sewage"
"Hong_Kong_Sewage","Sofia_Sewage",49,188,9,0.800813008130081,0.26865671641791,0.532156291712171,"Hong_Kong","Sewage","Sofia","Sewage","Sewage-Sewage"
"Hong_Kong_Sewage","Taipei_Sewage",173,64,30,0.352059925093633,0.257510729613734,0.0945491954798991,"Hong_Kong","Sewage","Taipei","Sewage","Sewage-Sewage"
"Hong_Kong_Sewage","Vienna_Sewage",72,165,18,0.717647058823529,0.333333333333333,0.384313725490196,"Hong_Kong","Sewage","Vienna","Sewage","Sewage-Sewage"
"Hong_Kong_Sewage","Bogota_Sewage",162,75,20,0.369649805447471,0.198019801980198,0.171630003467273,"Hong_Kong","Sewage","Bogota","Sewage","Sewage-Sewage"
"Hong_Kong_Sewage","Hanoi_Sewage",191,46,22,0.262548262548263,0.187234042553191,0.075314219995071,"Hong_Kong","Sewage","Hanoi","Sewage","Sewage-Sewage"
"Hong_Kong_Sewage","Ilorin_Sewage",49,188,16,0.806324110671937,0.395061728395062,0.411262382276875,"Hong_Kong","Sewage","Ilorin","Sewage","Sewage-Sewage"
"Hong_Kong_Sewage","Kuala_Lumpur_Sewage",160,77,14,0.362549800796813,0.148936170212766,0.213613630584047,"Hong_Kong","Sewage","Kuala_Lumpur","Sewage","Sewage-Sewage"
"Hong_Kong_Sewage","Oslo_Sewage",40,197,8,0.836734693877551,0.285714285714286,0.551020408163265,"Hong_Kong","Sewage","Oslo","Sewage","Sewage-Sewage"
"Hong_Kong_Sewage","Rio_de_Janeiro_Sewage",58,179,6,0.761316872427984,0.171428571428571,0.589888300999412,"Hong_Kong","Sewage","Rio_de_Janeiro","Sewage","Sewage-Sewage"
"Hong_Kong_Sewage","Barcelona_Transit",8,229,5,0.966942148760331,0.555555555555556,0.411386593204775,"Hong_Kong","Sewage","Barcelona","Transit","Sewage-Transit"
"Hong_Kong_Sewage","Berlin_Transit",11,226,14,0.956175298804781,0.717948717948718,0.238226580856063,"Hong_Kong","Sewage","Berlin","Transit","Sewage-Transit"
"Hong_Kong_Sewage","Bogota_Transit",13,224,10,0.947368421052632,0.606060606060606,0.341307814992025,"Hong_Kong","Sewage","Bogota","Transit","Sewage-Transit"
"Hong_Kong_Sewage","Hanoi_Transit",52,185,14,0.792828685258964,0.35,0.442828685258964,"Hong_Kong","Sewage","Hanoi","Transit","Sewage-Transit"
"Hong_Kong_Sewage","Hong_Kong_Transit",16,221,17,0.937007874015748,0.68,0.257007874015748,"Hong_Kong","Sewage","Hong_Kong","Transit","Sewage-Transit"
"Hong_Kong_Sewage","Ilorin_Transit",35,202,13,0.86,0.426229508196721,0.433770491803279,"Hong_Kong","Sewage","Ilorin","Transit","Sewage-Transit"
"Hong_Kong_Sewage","Kuala_Lumpur_Transit",60,177,11,0.758064516129032,0.268292682926829,0.489771833202203,"Hong_Kong","Sewage","Kuala_Lumpur","Transit","Sewage-Transit"
"Hong_Kong_Sewage","Lisbon_Transit",18,219,7,0.926229508196721,0.4375,0.488729508196721,"Hong_Kong","Sewage","Lisbon","Transit","Sewage-Transit"
"Hong_Kong_Sewage","Oslo_Transit",10,227,6,0.958847736625514,0.545454545454545,0.413393191170969,"Hong_Kong","Sewage","Oslo","Transit","Sewage-Transit"
"Hong_Kong_Sewage","Porto_Transit",13,224,4,0.946058091286307,0.380952380952381,0.565105710333926,"Hong_Kong","Sewage","Porto","Transit","Sewage-Transit"
"Hong_Kong_Sewage","Rio_de_Janeiro_Transit",22,215,16,0.91304347826087,0.592592592592593,0.320450885668277,"Hong_Kong","Sewage","Rio_de_Janeiro","Transit","Sewage-Transit"
"Hong_Kong_Sewage","Santiago_Transit",7,230,4,0.970954356846473,0.533333333333333,0.43762102351314,"Hong_Kong","Sewage","Santiago","Transit","Sewage-Transit"
"Hong_Kong_Sewage","Singapore_Transit",10,227,4,0.95850622406639,0.444444444444444,0.514061779621946,"Hong_Kong","Sewage","Singapore","Transit","Sewage-Transit"
